1/21 11:52:27.498  SWING_DAMAGE,0x0300000005D70675,"Billionaire",0x511,0xF140C79CA3000002,"GUGU",0x11148,376,-1,1,0,0,0,1,nil,nil
1/21 11:52:27.637  SPELL_PERIODIC_ENERGIZE,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,0,4
1/21 11:52:27.637  SPELL_PERIODIC_HEAL,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,54131,"Bloodthirsty",0x1,881,444,0,nil
1/21 11:52:27.868  SPELL_AURA_APPLIED_DOSE,0xF140C79CA3000002,"GUGU",0x11148,0xF140C79CA3000002,"GUGU",0x11148,19615,"Frenzy Effect",0x1,BUFF,4
1/21 11:52:27.868  SWING_DAMAGE,0xF140C79CA3000002,"GUGU",0x11148,0x0300000005D70675,"Billionaire",0x511,802,-1,1,0,0,0,1,nil,nil
1/21 11:52:28.235  SPELL_HEAL,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,20167,"Seal of Insight",0x2,1129,155,0,nil
1/21 11:52:28.518  SPELL_ENERGIZE,0x0300000005D70675,"Billionaire",0x511,0x0300000005D70675,"Billionaire",0x511,20167,"Seal of Insight",0x2,937,0
1/21 11:52:28.589  SPELL_AURA_REMOVED,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D70675,"Billionaire",0x511,94528,"Flare",0x40,DEBUFF
1/21 11:52:28.865  SPELL_CAST_SUCCESS,0x0300000005D70675,"Billionaire",0x511,0x0300000005D9C981,"Guccimaim",0x10512,4987,"Cleanse",0x2
1/21 11:52:28.865  SWING_DAMAGE,0x030000000219D13A,"Bumblebeex-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x10512,119,-1,1,0,0,0,nil,nil,nil
1/21 11:52:28.865  SPELL_PERIODIC_ENERGIZE,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,54131,"Bloodthirsty",0x1,0,4
1/21 11:52:28.865  SPELL_PERIODIC_HEAL,0xF140C79CA3000002,"GUGU",0x1148,0xF140C79CA3000002,"GUGU",0x1148,54131,"Bloodthirsty",0x1,881,505,0,nil
1/21 11:52:28.865  SPELL_AURA_REMOVED,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D9C981,"Guccimaim",0x10512,1513,"Scare Beast",0x8,DEBUFF
1/21 11:52:28.865  SPELL_DISPEL,0x0300000005D70675,"Billionaire",0x511,0x0300000005D9C981,"Guccimaim",0x10512,4987,"Cleanse",0x2,1513,"Scare Beast",8,DEBUFF
1/21 11:52:28.990  SPELL_CAST_FAILED,0x0300000005D70675,"Billionaire",0x511,0x0000000000000000,nil,0x80000000,4987,"Cleanse",0x2,"Not yet recovered"
1/21 11:52:29.265  SWING_DAMAGE,0xF140C79CA3000002,"GUGU",0x1148,0x0300000005D70675,"Billionaire",0x511,280,-1,1,0,120,0,nil,nil,nil
1/21 11:52:29.410  SPELL_CAST_SUCCESS,0x0300000001B3C240,"Exrobinhood-Frostmourne",0x548,0x0300000005D70675,"Billionaire",0x511,1978,"Serpent Sting",0x8
